symbol,days_of_data,date_from,date_to,avg_volume,avg_close
POONAWALLA,337,2023-12-26,2025-05-06,2421420.985163205,396.46468842729973
HINDZINC,337,2023-12-26,2025-05-06,2395261.050445104,470.4439169139468
MARICO,337,2023-12-26,2025-05-06,2343232.522255193,614.036350148368
KARURVYSYA,337,2023-12-26,2025-05-06,2342797.0,206.11249258160242
GPIL,337,2023-12-26,2025-05-06,2331397.4362017806,184.43338278931745
IIFL,337,2023-12-26,2025-05-06,2324768.299703264,437.1461424332345
MAXHEALTH,337,2023-12-26,2025-05-06,2323837.991097923,933.1476261127605
LICHSGFIN,337,2023-12-26,2025-05-06,2309464.252225519,629.2041543026713
NIACL,337,2023-12-26,2025-05-06,2277822.949554896,217.65023738872424
SUNPHARMA,337,2023-12-26,2025-05-06,2276945.578635015,1661.0022255192869
GSPL,337,2023-12-26,2025-05-06,2249342.047477745,341.86335311572714
HAL,337,2023-12-26,2025-05-06,2248924.115727003,4077.01973293768
JSWSTEEL,337,2023-12-26,2025-05-06,2242934.299703264,921.6264094955488
GICRE,337,2023-12-26,2025-05-06,2238406.459940653,384.8801186943622
JINDALSTEL,337,2023-12-26,2025-05-06,2178337.305637982,906.7817507418395
BSE,337,2023-12-26,2025-05-06,2157012.525222552,3680.543620178042
TECHM,337,2023-12-26,2025-05-06,2155677.7893175073,1471.4354599406524
HEG,337,2023-12-26,2025-05-06,2152845.5489614243,427.6574183976261
DRREDDY,337,2023-12-26,2025-05-06,2151472.9050445105,1248.6801186943635
APOLLOTYRE,337,2023-12-26,2025-05-06,2150308.231454006,486.42477744807127
GMDCLTD,337,2023-12-26,2025-05-06,2144020.988130564,362.3537982195844
SWSOLAR,337,2023-12-26,2025-05-06,2136400.6053412464,529.8001483679527
ATGL,337,2023-12-26,2025-05-06,2129891.537091988,816.5121661721073
GRANULES,337,2023-12-26,2025-05-06,2125001.24925816,512.3856083086056
ADANIENT,337,2023-12-26,2025-05-06,2117667.5548961423,2839.996290801186
HBLENGINE,337,2023-12-26,2025-05-06,2112738.646884273,539.7356083086056
SONACOMS,337,2023-12-26,2025-05-06,2059480.5786350148,620.972106824926
JINDALSAW,337,2023-12-26,2025-05-06,2049136.12462908,279.15857566765595
INDIANB,337,2023-12-26,2025-05-06,2029725.293768546,531.5507418397628
BDL,337,2023-12-26,2025-05-06,1970283.240356083,1161.2787833827892
ANANTRAJ,337,2023-12-26,2025-05-06,1957289.3323442137,522.8538575667657
MOTILALOFS,337,2023-12-26,2025-05-06,1923548.1958456973,646.2330860534125
HINDUNILVR,337,2023-12-26,2025-05-06,1921499.534124629,2472.151483679524
AARTIIND,337,2023-12-26,2025-05-06,1882256.8011869437,565.5995548961428
GRSE,337,2023-12-26,2025-05-06,1879566.0949554895,1460.6452522255186
VOLTAS,337,2023-12-26,2025-05-06,1863432.4362017803,1439.948664688427
CGCL,337,2023-12-26,2025-05-06,1862783.5637982197,203.4147477744806
TRITURBINE,337,2023-12-26,2025-05-06,1858815.3056379822,601.0090504451036
POLICYBZR,337,2023-12-26,2025-05-06,1853049.3056379822,1471.011127596439
TITAGARH,337,2023-12-26,2025-05-06,1828977.474777448,1124.737982195846
GODIGIT,236,2024-05-23,2025-05-06,1825488.9449152541,328.6345338983053
TATACONSUM,337,2023-12-26,2025-05-06,1820971.8011869437,1079.6014836795248
CIPLA,337,2023-12-26,2025-05-06,1810471.296735905,1482.7765578635017
CONCOR,337,2023-12-26,2025-05-06,1796555.5400593472,880.245548961425
ACMESOLAR,116,2024-11-13,2025-05-06,1758176.25,220.29362068965517
BAJAJFINSV,337,2023-12-26,2025-05-06,1733468.350148368,1702.4973293768553
ICICIPRULI,337,2023-12-26,2025-05-06,1727193.756676558,625.3731454005931
CHOLAFIN,337,2023-12-26,2025-05-06,1721228.1394658755,1325.2198813056382
PNBHOUSING,337,2023-12-26,2025-05-06,1676967.0326409496,844.0011869436211
BALRAMCHIN,337,2023-12-26,2025-05-06,1652307.9732937685,479.10400593471815
FORTIS,337,2023-12-26,2025-05-06,1629488.7774480712,545.3041543026708
TATACHEM,337,2023-12-26,2025-05-06,1628978.4005934717,1027.8873887240359
SBICARD,337,2023-12-26,2025-05-06,1617064.2789317507,749.1737388724033
TATATECH,337,2023-12-26,2025-05-06,1597938.46884273,968.1100890207713
ZYDUSLIFE,337,2023-12-26,2025-05-06,1589205.3204747774,979.3136498516329
SAILIFE,93,2024-12-18,2025-05-06,1577859.7634408602,710.9833333333335
AEGISLOG,337,2023-12-26,2025-05-06,1568434.412462908,684.7614243323438
AUROPHARMA,337,2023-12-26,2025-05-06,1557566.7507418399,1234.2597922848668
KNRCON,337,2023-12-26,2025-05-06,1549146.3175074183,294.17780415430286
CHENNPETRO,337,2023-12-26,2025-05-06,1544818.6765578636,791.3097922848668
ASTERDM,337,2023-12-26,2025-05-06,1524820.2818991097,427.31795252225515
AADHARHFC,242,2024-05-15,2025-05-06,1482868.0537190083,419.85144628099164
JSL,337,2023-12-26,2025-05-06,1471586.8130563798,681.1896142433233
SBILIFE,337,2023-12-26,2025-05-06,1458740.005934718,1541.4725519287838
SONATSOFTW,337,2023-12-26,2025-05-06,1449082.9020771512,607.659198813057
PGEL,337,2023-12-26,2025-05-06,1440231.8961424332,521.455192878338
GRAPHITE,337,2023-12-26,2025-05-06,1430570.2255192879,541.7657270029674
LODHA,337,2023-12-26,2025-05-06,1428484.87537092,1235.3851632047476
HYUNDAI,132,2024-10-22,2025-05-06,1422167.0833333333,1764.187121212122
ZENSARTECH,337,2023-12-26,2025-05-06,1362081.5430267062,692.7161721068247
GODREJCP,337,2023-12-26,2025-05-06,1353351.3946587536,1251.0108308605327
BERGEPAINT,337,2023-12-26,2025-05-06,1344226.519287834,528.5635014836794
FINPIPE,337,2023-12-26,2025-05-06,1343119.8635014836,254.1026112759643
HONASA,337,2023-12-26,2025-05-06,1324536.824925816,370.93163204747754
CAMPUS,337,2023-12-26,2025-05-06,1317784.0356083086,274.7823442136497
GUJGASLTD,337,2023-12-26,2025-05-06,1314268.8011869437,535.0268545994059
BHARATFORG,337,2023-12-26,2025-05-06,1300999.6824925817,1334.3335311572703
HSCL,337,2023-12-26,2025-05-06,1296646.8664688428,448.3780415430266
ASIANPAINT,337,2023-12-26,2025-05-06,1276525.1038575668,2771.44183976261
TEJASNET,337,2023-12-26,2025-05-06,1234163.9584569733,1046.4875370919888
BAJFINANCE,337,2023-12-26,2025-05-06,1227222.7299703264,7306.4793768546015
KPITTECH,337,2023-12-26,2025-05-06,1219918.4272997032,1506.062908011869
ANGELONE,337,2023-12-26,2025-05-06,1212625.5697329377,2673.7608308605354
FIRSTCRY,180,2024-08-13,2025-05-06,1212285.8666666667,527.8197222222224
LUPIN,337,2023-12-26,2025-05-06,1204456.0267062315,1885.193323442135
USHAMART,337,2023-12-26,2025-05-06,1188493.7210682493,349.0329376854597
ARE&M,337,2023-12-26,2025-05-06,1176589.3382789318,1157.8580118694365
DEEPAKFERT,337,2023-12-26,2025-05-06,1172630.0741839763,905.1307121661722
PRAJIND,337,2023-12-26,2025-05-06,1160878.5044510385,629.4066765578633
